product_name,protein_value,fat_value,carbohydrate_value,kcal_value
Бисквитник Сдобная особа шоколадный с шоколадной начинкой,4.300000191,18.3,48.5,378
Бифацил,2.900000095,2.5,7.9,66
Бифилайф Ам-Ам Мамина забота Яблоко и Банан,2.900000095,2.5,10.5,76
Бифитат,2.799999952,3.4,4.7,61
Бифштекс,27.79999924,29.6,1.7,384
Блинчики Ермолино с печенью Мамины,8,15,33,299
Блинчики Морозко сладкие с вишней,3.5,4.5,32,180
Блинчики Морозко сладкие с творогом,7.199999809,6,27.4,192
Блинчики Морозко сытные с мясом,7.199999809,10.7,23.3,218
Блинчики Останкино с мясом,8,11,33,270
Блинчики Останкино с печенью,8,10,33,260
Блины,6.099999905,12.3,26,233
Блины с ветчиной,8.899999619,13.5,33.9,292
Блины с ветчиной и сыром,14.30000019,20.2,35.3,382
Блины с грибами,6.699999809,9.9,21,218
Блины с красной икрой,12.69999981,15.2,33.7,324
Блины с маслом,8,15.2,40.6,332
Блины с мёдом,7.199999809,13.5,50.4,350
Блины с сёмгой,11.19999981,14.9,33.8,313
Блины с сыром,11.39999962,18.3,34.3,348
Блины со сгущеным молоком,8.100000381,12.4,41.7,324
Блины со сметаной,7.099999905,16.3,34.3,311
Блюдо армянское Бозбаш 4 сезона,3,9.5,4,126
Блюдо болгарское Жаркое по-деревенски 4 сезона,3.5,11.1,5.5,137
Блюдо греческое Мясо по-македонски 4 сезона,5.800000191,10.1,22,206
Блюдо грузинское Чахохбили с фасолью 4 сезона,6.199999809,5.5,3.4,87
Блюдо индийское Цыплёнок карри 4 сезона,6.599999905,3.2,21,142
Блюдо испанское Паэлья 4 сезона,8.199999809,3,16.3,129
Блюдо итальянское Пенне карбонара 4 сезона,5.599999905,11.4,16.4,188
Блюдо итальянское Ризотто с морепродуктами 4 сезона,6.5,6.4,18.8,163
Венерка,14.69999981,1,3.6,86
Блюдо китайское Курочка по-пекински 4 сезона,5.599999905,3.3,11.8,102
Блюдо китайское Свинина в кисло-сладком соусе 4 сезона,4.400000095,9.4,14.8,153
Блюдо латиноамериканское Цыплёнок по-мексикански 4 сезона,6.599999905,8.5,10.7,127
Блюдо мексиканское Чили кон карне 4 сезона,6.400000095,8.8,15.7,160
Блюдо наше Макароны по-флотски 4 сезона,7.599999905,9.9,21.2,185
Блюдо русское Барашек с гречкой 4 сезона,5.900000095,13.8,17.7,224
Блюдо среднеазиатское Лагман 4 сезона,4.300000191,8.9,13.3,158
Блюдо тайское Лапша карри 4 сезона,5.900000095,6.4,12.7,128
Блюдо узбекское Плов с бараниной 4 сезона,4.199999809,6,14.9,150
Блюдо французское Шампиньон де пари 4 сезона,6.699999809,9.5,5.1,129
Блюдо швейцарское Фондю эменталь 4 сезона,7.900000095,10.2,13.3,175
Блюдо японское Сакэна с рисом 4 сезона,5.699999809,2.4,13.6,103
Бобы,6,0.1,8.5,57
Бобы зелёные,6,0.1,10.5,60
Бобы Эдамамэ,13,6.2,11.1,147
Бобы Эдамамэ зелёные замороженные,13.10000038,4.6,14,150
Болдо,7.599999905,8.3,48.6,313
Большой завтрак McDonalds,30,30,62,640
Большой завтрак McDonalds с джемом,30,35,58,675
Большой завтрак McDonalds с мёдом,30,35,60,685
Бопс (Полосатик),15.30000019,1.5,0,79
Бораки,13.69999981,12,30.7,277
Борщ 4 сезона Московский,3.5,0.1,8.9,51
Борщ Hortex украинский,1.399999976,0.2,4.8,31
Борщ Главсуп с курицей,2.299999952,1.8,3.3,38
Борщ из свежей капусты с мясом,4.400000095,3.6,5.5,63
Борщ Леовит Худеем за неделю Сибирский с мясом,19,3.5,48,300
Борщ летний холодный,1.100000024,2.1,6.4,49
Борщ сибирский,1.899999976,1.5,6.8,48
Борщ Сибирский с фрикадельками,5.800000191,5.3,5,82
Борщ украинский,1.100000024,2.2,6.7,49
Борщик Heinz с говядинкой,11.30000019,6.7,67,374
Боярышник,0,0,14,52
Боярышник сушеный,0,0,38,142
Бразильский орех,14.30000019,66.4,4.8,656
Бренди,0,0,0.5,225
Брецель,20,6,35,300
Бриошь,5.199999809,7.5,57.2,304
Бротола,19.39999962,1.6,0,92
Брускетта,4.699999809,23,21.7,315
Брусника,0.699999988,0.5,9.6,43
Брусника 4 сезона,0.699999988,0.5,8.2,40
Брусника Hortex,0.699999988,0.4,7.5,36
Брусника мочёная,0.300000012,0.2,5.3,24
Брюква,1.200000048,0.1,7.7,37
Брюква запечённая,2.099999905,1.6,7.5,51
Брюква тушеная,1.200000048,8.5,8.6,114
Бублик,16,1,70,336
Бублик Украинский,8.300000191,6.4,58.2,328
Бублик Ярмарочный,8.5,7,58.3,330
Буженина вареная,16.39999962,18.3,1,233
Буженина Фабрика Качества из мяса цыплят-бройлеров Традиционная запечённая,20,9,0,160
Бузина,0.699999988,0.5,11.4,73
Бузинный сок,1.100000024,0.2,5.1,27
Буйволятина,19,13.2,0,194
Буйволятина вареная,30,17.4,0,276
Буйволятина жареная,33.40000153,23.2,0,342
Буйволятина тушеная,24.39999962,16.9,0,250
Букатини,12,1.2,71,350
Букет гарни,12.39999962,6.5,26,259
Буковый орех,6.199999809,50,33.5,576
Булгур,12.30000019,1.3,57.6,342
Булгур Yelli с белыми грибами,14,2,64,330
Булгур Готово! с овощами,13,1.5,67,330
Булгур Мистраль,14.19999981,1.1,73.4,343
Булгур приготовленный,3.099999905,0.2,14.1,83
Булочка к чаю,7.199999809,6.2,51,317
Булочка Калорийная,7.300000191,9.6,62.4,363
Булочка отрубная,7.800000191,1.8,43.9,220
Булочка Столичная,8.399999619,2.2,52.8,270
Булочки 8 злаков,13.89999962,5.3,43.7,277
Булочки Бургундские,0.699999988,1.7,55,266
Булочки Бутербродные с кунжутом,9.600000381,4.2,59.5,320
Булочки для гамбургеров,7,4,52,272
Булочки для хот-догов,8.699999809,7.5,60.6,339
Булочки пшеничные с кунжутом Коломенское,8,5,55,300
Булочки сдобные,7.900000095,9.4,55.5,339
Булочки сдобные с кардамоном Коломенское,8,7,62,340
Бульмени Горячая штучка С говядиной и свининой,14.5,9.5,19,220
Бульмени Горячая штучка Со сливочным маслом,14.5,10,19,224
Бульон говяжий,0.600000024,0.2,0,4
Бульон грибной,0.5,0.1,0,3
Бульон куриный,2,0.5,0.3,15
Бульон куриный крепкий домашний,2.5,1.2,3.5,36
Бульон куриный постный,0.100000001,0,0,1
Бульон овощной,0.200000003,0.1,0.9,5
Бульон рыбный,0.400000006,0,0,2
Бульонный кубик,2,2,4,40
Бумбу,1,0.8,11.3,61
Бурбон,0,0,0.4,235
Бутанику кадзукири,3.200000048,5.1,24.2,156
Бутанику рёри,16.60000038,22.2,3.4,280
Бычки в томатном соусе,17.5,2,0,88
Бычок,17.5,2,0,88
Бычьи яйца,13,20,0.1,230
Валериана,0,0,0,0
Валуи,3.700000048,1.7,1.1,29
Ванилин,0.100000001,0.1,12.7,288
Ваниль,1.200000048,0.1,12.5,287
Ванильная эссенция,0.100000001,0.1,12.6,288
Ванильный порошок,1.200000048,0.1,12.5,287
Варенец 2.5%,2.799999952,2.5,4,50
Варенец Останкинский 2.5%,2.799999952,2.5,4.2,51
Вареники от Ильиной с вишней,7.599999905,0,18.7,105
Вареники от Ильиной с картофелем,4.400000095,3.7,18.5,125
Вареники от Ильиной с клубникой,7.900000095,0,17.6,205
Вареники от Ильиной с творогом,12,4.2,17,154
Вареники от Ильиной с черникой,7.599999905,0,18.7,105
Вареники Хвалынские с картошкой и грибами,6,3.6,32,184
Варенье из абрикосов,0,0,62,236
Варенье из айвы,0.400000006,0.2,70.6,273
Варенье из апельсинов,2.599999905,0.5,70,245
Варенье из брусники,0.200000003,0.1,64.6,244
Варенье из вишни,0,0,64,256
Варенье из груши,0.300000012,0.2,70.8,273
Варенье из дыни,0.300000012,0.1,44.7,197
Варенье из земляники,0.300000012,0.1,58,219
Варенье из инжира,0,0,62,236
Варенье из кабачков,0.300000012,0.1,48.9,196
Варенье из клубники,0.300000012,0.1,74,285
Варенье из лимонов,0,0,60,240
Варенье из малины,0.600000024,0.2,70.4,273
Варенье из мандаринов,0.699999988,0.2,75.9,294
Варенье из облепихи,0.699999988,3.7,34.4,165
Варенье из одуванчиков,0.600000024,0.1,48,191
Варенье из персиков,0.5,0,66.8,258
Варенье из ревеня,0.5,0.5,82.4,314
Варенье из сливы,0.400000006,0.3,74.2,288
Варенье из тёрна,0,0,62,248
Варенье из черники,0.400000006,0.2,56.1,214
